company,quarter,trass_reported_total_value,trass_fallback_total_value,trass_raw_value,trass_observed_days,trass_target_days,trass_30d_normalized,trass_is_partial_month,trass_adjustment_factor,trass_value_for_trend,trass_total_source,trass_country_weighted_feature,trass_country_weighted_normalized_feature,trass_country_weight_coverage,month_count,months_present,is_complete_quarter,data_quality_warnings
"samyang","1999-Q2","26445773347",,"26445773347","91","90","26204857541.9","false","0.989","26204857541.9","reported","0",,"0","3","3","true",""
"samyang","1999-Q3","22930078735",,"22930078735","92","90","22426939697.39","false","0.9783","22426939697.39","reported","0",,"0","3","3","true",""
"samyang","1999-Q4","25021644067",,"25021644067","92","90","24490065510.480003","false","0.9783","24490065510.480003","reported","0",,"0","3","3","true",""
"samyang","2000-Q1","24861887677",,"24861887677","91","90","24560541835.16","false","0.989","24560541835.16","reported","0",,"0","3","3","true",""
"samyang","2000-Q2","26811654829",,"26811654829","91","90","26539260706.739998","false","0.989","26539260706.739998","reported","0",,"0","3","3","true",""
"samyang","2000-Q3","26637923496",,"26637923496","92","90","26038590964.35","false","0.9783","26038590964.35","reported","0",,"0","3","3","true",""
"samyang","2000-Q4","26883195195",,"26883195195","92","90","26328847220.480003","false","0.9783","26328847220.480003","reported","0",,"0","3","3","true",""
"samyang","2001-Q1","35510470824",,"35510470824","90","90","35640975443.33","false","1","35640975443.33","reported","0",,"0","3","3","true",""
"samyang","2001-Q2","37336183728",,"37336183728","91","90","36896364848.35","false","0.989","36896364848.35","reported","0",,"0","3","3","true",""
"samyang","2001-Q3","35920129751",,"35920129751","92","90","35169083700.58","false","0.9783","35169083700.58","reported","0",,"0","3","3","true",""
"samyang","2001-Q4","35942782087",,"35942782087","92","90","35228498651.19","false","0.9783","35228498651.19","reported","0",,"0","3","3","true",""
"samyang","2002-Q1","42035024030",,"42035024030","90","90","42026955679.15","false","1","42026955679.15","reported","0",,"0","3","3","true",""
"samyang","2002-Q2","40849517912",,"40849517912","91","90","40440590831.65","false","0.989","40440590831.65","reported","0",,"0","3","3","true",""
"samyang","2002-Q3","40861556870",,"40861556870","92","90","39971852968.9","false","0.9783","39971852968.9","reported","0",,"0","3","3","true",""
"samyang","2002-Q4","43145412973",,"43145412973","92","90","42206721668.65","false","0.9783","42206721668.65","reported","0",,"0","3","3","true",""
"samyang","2003-Q1","44507411343",,"44507411343","90","90","44723033400.59","false","1","44723033400.59","reported","0",,"0","3","3","true",""
"samyang","2003-Q2","39928912913",,"39928912913","91","90","39533040150.06","false","0.989","39533040150.06","reported","0",,"0","3","3","true",""
"samyang","2003-Q3","45314405590",,"45314405590","92","90","44366863180.9","false","0.9783","44366863180.9","reported","0",,"0","3","3","true",""
"samyang","2003-Q4","49838521360",,"49838521360","92","90","48789328539.23","false","0.9783","48789328539.23","reported","0",,"0","3","3","true",""
"samyang","2004-Q1","40678367459",,"40678367459","91","90","40359596297.92","false","0.989","40359596297.92","reported","0",,"0","3","3","true",""
"samyang","2004-Q2","49837345047",,"49837345047","91","90","49341313840.94","false","0.989","49341313840.94","reported","0",,"0","3","3","true",""
"samyang","2004-Q3","47839141490",,"47839141490","92","90","46854439670.1","false","0.9783","46854439670.1","reported","0",,"0","3","3","true",""
"samyang","2004-Q4","47852399782",,"47852399782","92","90","46844224858.16","false","0.9783","46844224858.16","reported","0",,"0","3","3","true",""
"samyang","2005-Q1","38440015785",,"38440015785","90","90","38459208861.4","false","1","38459208861.4","reported","0",,"0","3","3","true",""
"samyang","2005-Q2","38135853272",,"38135853272","91","90","37762763734.65","false","0.989","37762763734.65","reported","0",,"0","3","3","true",""
"samyang","2005-Q3","33270096189",,"33270096189","92","90","32580943002.809998","false","0.9783","32580943002.809998","reported","0",,"0","3","3","true",""
"samyang","2005-Q4","34295070047",,"34295070047","92","90","33551879388.1","false","0.9783","33551879388.1","reported","0",,"0","3","3","true",""
"samyang","2006-Q1","26553698019",,"26553698019","90","90","26572289897.910004","false","1","26572289897.910004","reported","0",,"0","3","3","true",""
"samyang","2006-Q2","27407560326",,"27407560326","91","90","27109802897.190002","false","0.989","27109802897.190002","reported","0",,"0","3","3","true",""
"samyang","2006-Q3","28739171047",,"28739171047","92","90","28140211082.809998","false","0.9783","28140211082.809998","reported","0",,"0","3","3","true",""
"samyang","2006-Q4","29521201404",,"29521201404","92","90","28919387174.42","false","0.9783","28919387174.42","reported","0",,"0","3","3","true",""
"samyang","2007-Q1","28691439945",,"28691439945","90","90","28602555631.589996","false","1","28602555631.589996","reported","0",,"0","3","3","true",""
"samyang","2007-Q2","30375456418",,"30375456418","91","90","30034608542.45","false","0.989","30034608542.45","reported","0",,"0","3","3","true",""
"samyang","2007-Q3","29228541997",,"29228541997","92","90","28605190281.97","false","0.9783","28605190281.97","reported","0",,"0","3","3","true",""
"samyang","2007-Q4","37241918325",,"37241918325","92","90","36427848688.61","false","0.9783","36427848688.61","reported","0",,"0","3","3","true",""
"samyang","2008-Q1","36423458836",,"36423458836","91","90","35968041480.33","false","0.989","35968041480.33","reported","0",,"0","3","3","true",""
"samyang","2008-Q2","38723080404",,"38723080404","91","90","38299865194.71","false","0.989","38299865194.71","reported","0",,"0","3","3","true",""
"samyang","2008-Q3","40343347463",,"40343347463","92","90","39467329929.55","false","0.9783","39467329929.55","reported","0",,"0","3","3","true",""
"samyang","2008-Q4","47113828894",,"47113828894","92","90","46091249937.42","false","0.9783","46091249937.42","reported","0",,"0","3","3","true",""
"samyang","2009-Q1","46461426061",,"46461426061","90","90","46583168476.35","false","1","46583168476.35","reported","0",,"0","3","3","true",""
"samyang","2009-Q2","51027549116",,"51027549116","91","90","50488143711.16","false","0.989","50488143711.16","reported","0",,"0","3","3","true",""
"samyang","2009-Q3","50157967725",,"50157967725","92","90","49149993291.9","false","0.9783","49149993291.9","reported","0",,"0","3","3","true",""
"samyang","2009-Q4","54380784373",,"54380784373","92","90","53246249010.740005","false","0.9783","53246249010.740005","reported","0",,"0","3","3","true",""
"samyang","2010-Q1","48639253098",,"48639253098","90","90","48625098512.97","false","1","48625098512.97","reported","0",,"0","3","3","true",""
"samyang","2010-Q2","53762684074",,"53762684074","91","90","53254972153.94","false","0.989","53254972153.94","reported","0",,"0","3","3","true",""
"samyang","2010-Q3","49446457701",,"49446457701","92","90","48357697509.49","false","0.9783","48357697509.49","reported","0",,"0","3","3","true",""
"samyang","2010-Q4","58295370512",,"58295370512","92","90","57036259824.58","false","0.9783","57036259824.58","reported","0",,"0","3","3","true",""
"samyang","2011-Q1","57757887511",,"57757887511","90","90","57416298600","false","1","57416298600","reported","0",,"0","3","3","true",""
"samyang","2011-Q2","63821490815",,"63821490815","91","90","63179061730.130005","false","0.989","63179061730.130005","reported","0",,"0","3","3","true",""
"samyang","2011-Q3","56806366512",,"56806366512","92","90","55631262674.97","false","0.9783","55631262674.97","reported","0",,"0","3","3","true",""
"samyang","2011-Q4","69988953651",,"69988953651","92","90","68471149711.35","false","0.9783","68471149711.35","reported","0",,"0","3","3","true",""
"samyang","2012-Q1","70529858731",,"70529858731","91","90","69897489820.95","false","0.989","69897489820.95","reported","0",,"0","3","3","true",""
"samyang","2012-Q2","72808508561",,"72808508561","91","90","72024845886.65","false","0.989","72024845886.65","reported","0",,"0","3","3","true",""
"samyang","2012-Q3","72113523186",,"72113523186","92","90","70549338680.55","false","0.9783","70549338680.55","reported","0",,"0","3","3","true",""
"samyang","2012-Q4","65142800869",,"65142800869","92","90","63718359300","false","0.9783","63718359300","reported","0",,"0","3","3","true",""
"samyang","2013-Q1","69739068600",,"69739068600","90","90","69573098634.26001","false","1","69573098634.26001","reported","0",,"0","3","3","true",""
"samyang","2013-Q2","80624392479",,"80624392479","91","90","79813721460.19","false","0.989","79813721460.19","reported","0",,"0","3","3","true",""
"samyang","2013-Q3","66706250099",,"66706250099","92","90","65227059966.74","false","0.9783","65227059966.74","reported","0",,"0","3","3","true",""
"samyang","2013-Q4","70119080126",,"70119080126","92","90","68622779511.06","false","0.9783","68622779511.06","reported","0",,"0","3","3","true",""
"samyang","2014-Q1","70818017574",,"70818017574","90","90","70931065051.03","false","1","70931065051.03","reported","0",,"0","3","3","true",""
"samyang","2014-Q2","73738001416",,"73738001416","91","90","72970081871.87","false","0.989","72970081871.87","reported","0",,"0","3","3","true",""
"samyang","2014-Q3","67706179901",,"67706179901","92","90","66289457804.2","false","0.9783","66289457804.2","reported","0",,"0","3","3","true",""
"samyang","2014-Q4","75913072718",,"75913072718","92","90","74292788272.55","false","0.9783","74292788272.55","reported","0",,"0","3","3","true",""
"samyang","2015-Q1","74529463000",,"74529463000","90","90","74323611874.01","false","1","74323611874.01","reported","0",,"0","3","3","true",""
"samyang","2015-Q2","78140392981",,"78140392981","91","90","77413806753.97","false","0.989","77413806753.97","reported","0",,"0","3","3","true",""
"samyang","2015-Q3","82097901869",,"82097901869","92","90","80418471059","false","0.9783","80418471059","reported","0",,"0","3","3","true",""
"samyang","2015-Q4","93391803805",,"93391803805","92","90","91390913824.36","false","0.9783","91390913824.36","reported","0",,"0","3","3","true",""
"samyang","2016-Q1","91199020734",,"91199020734","91","90","90162981145.35","false","0.989","90162981145.35","reported","0",,"0","3","3","true",""
"samyang","2016-Q2","98886768964",,"98886768964","91","90","97822438189.13","false","0.989","97822438189.13","reported","0",,"0","3","3","true",""
"samyang","2016-Q3","114429228992",,"114429228992","92","90","112008400781.84","false","0.9783","112008400781.84","reported","0",,"0","3","3","true",""
"samyang","2016-Q4","125825263228",,"125825263228","92","90","123160626379.16","false","0.9783","123160626379.16","reported","0",,"0","3","3","true",""
"samyang","2017-Q1","135092860997",,"135092860997","90","90","135773034321.53","false","1","135773034321.53","reported","0",,"0","3","3","true",""
"samyang","2017-Q2","116616625831",,"116616625831","91","90","115531892711.26","false","0.989","115531892711.26","reported","0",,"0","3","3","true",""
"samyang","2017-Q3","141275702213",,"141275702213","92","90","138533687599.23","false","0.9783","138533687599.23","reported","0",,"0","3","3","true",""
"samyang","2017-Q4","151984545761",,"151984545761","92","90","149189401227.97","false","0.9783","149189401227.97","reported","0",,"0","3","3","true",""
"samyang","2018-Q1","136344571929",,"136344571929","90","90","135975831340.23","false","1","135975831340.23","reported","0",,"0","3","3","true",""
"samyang","2018-Q2","152401646998",,"152401646998","91","90","150763681541.39","false","0.989","150763681541.39","reported","0",,"0","3","3","true",""
"samyang","2018-Q3","136020639827",,"136020639827","92","90","133049213176.81","false","0.9783","133049213176.81","reported","0",,"0","3","3","true",""
"samyang","2018-Q4","143913493177",,"143913493177","92","90","140834658013.47998","false","0.9783","140834658013.47998","reported","0",,"0","3","3","true",""
"samyang","2019-Q1","145359403555",,"145359403555","90","90","145057706258.05","false","1","145057706258.05","reported","0",,"0","3","3","true",""
"samyang","2019-Q2","170639190982",,"170639190982","91","90","168751562669.55","false","0.989","168751562669.55","reported","0",,"0","3","3","true",""
"samyang","2019-Q3","174228582828",,"174228582828","92","90","170513026018.16","false","0.9783","170513026018.16","reported","0",,"0","3","3","true",""
"samyang","2019-Q4","193984783210",,"193984783210","92","90","189896419380.19","false","0.9783","189896419380.19","reported","0",,"0","3","3","true",""
"samyang","2020-Q1","197524402210",,"197524402210","91","90","195335738737.97","false","0.989","195335738737.97","reported","0",,"0","3","3","true",""
"samyang","2020-Q2","252753876124",,"252753876124","91","90","250139901942.58002","false","0.989","250139901942.58002","reported","0",,"0","3","3","true",""
"samyang","2020-Q3","235685951757",,"235685951757","92","90","230629449545.03","false","0.9783","230629449545.03","reported","0",,"0","3","3","true",""
"samyang","2020-Q4","216886913309",,"216886913309","92","90","212074057975.96002","false","0.9783","212074057975.96002","reported","0",,"0","3","3","true",""
"samyang","2021-Q1","228231028578",,"228231028578","90","90","227800163949.48004","false","1","227800163949.48004","reported","0",,"0","3","3","true",""
"samyang","2021-Q2","239541986421",,"239541986421","91","90","237061971640.47998","false","0.989","237061971640.47998","reported","0",,"0","3","3","true",""
"samyang","2021-Q3","240690723909",,"240690723909","92","90","235652774912.26","false","0.9783","235652774912.26","reported","0",,"0","3","3","true",""
"samyang","2021-Q4","283716918862",,"283716918862","92","90","277639544427.71","false","0.9783","277639544427.71","reported","0",,"0","3","3","true",""
"samyang","2022-Q1","274716358406","102180281873","274716358406","90","90","274132874377.91998","false","1","274132874377.91998","reported","20407275685.879997","51018189214.7","0.4000000000000001","3","3","true",""
"samyang","2022-Q2","314185311916","112582714990","314185311916","91","90","310336441629.29","false","0.989","310336441629.29","reported","22238260372.18","55595650930.45","0.4000000000000001","3","3","true",""
"samyang","2022-Q3","307113684564","93522295007","307113684564","92","90","300728274763.32","false","0.9783","300728274763.32","reported","18336527383.74","45841318459.35","0.4000000000000001","3","3","true",""
"samyang","2022-Q4","338536266171","115870769475","338536266171","92","90","331286243980.8","false","0.9783","331286243980.8","reported","22662574656.87","56656436642.17","0.4000000000000001","3","3","true",""
"samyang","2023-Q1","325985955757","109586603520","325985955757","90","90","326771833475.14","false","1","326771833475.14","reported","22023118394.19","55057795985.47","0.4000000000000001","3","3","true",""
"samyang","2023-Q2","376041262599","123480538279","376041262599","91","90","372137734333.81","false","0.989","372137734333.81","reported","24446100716.9","61115251792.25","0.4000000000000001","3","3","true",""
"samyang","2023-Q3","396015162542","150875925894","396015162542","92","90","387837486026.87","false","0.9783","387837486026.87","reported","29570951550.68","73927378876.7","0.4000000000000001","3","3","true",""
"samyang","2023-Q4","410039879979","148013768277","410039879979","92","90","401476677636","false","0.9783","401476677636","reported","28999828664.58","72499571661.45","0.4000000000000001","3","3","true",""
"samyang","2024-Q1","422877531936","142186519172","422877531936","91","90","418810222477.11","false","0.989","418810222477.11","reported","28220127791.03","70550319477.57","0.4000000000000001","3","3","true",""
"samyang","2024-Q2","515561970871","196436050590","515561970871","91","90","510019130263.52","false","0.989","510019130263.52","reported","38855121864.7","97137804661.75","0.4000000000000001","3","3","true",""
"samyang","2024-Q3","501953975226","197197985670","501953975226","92","90","490975219348.32996","false","0.9783","490975219348.32996","reported","38564488903.51","96411222258.78","0.4000000000000001","3","3","true",""
"samyang","2024-Q4","558367746674","220518089142","558367746674","92","90","546522196450.48","false","0.9783","546522196450.48","reported","43161998857.06","107904997142.65","0.4000000000000001","3","3","true",""
"samyang","2025-Q1","584249721259","230287398257","584249721259","90","90","586527739604.52","false","1","586527739604.52","reported","46298956097.88","115747390244.7","0.4000000000000001","3","3","true",""
"samyang","2025-Q2","637178002404","270389783619","637178002404","91","90","630417015137.1","false","0.989","630417015137.1","reported","53490217867.96","133725544669.9","0.4000000000000001","3","3","true",""
"samyang","2025-Q3","627292664787","273129777377","627292664787","92","90","614644244534.12","false","0.9783","614644244534.12","reported","53548424168.14","133871060420.35","0.4000000000000001","3","3","true",""
"samyang","2025-Q4","652575838312","267301131059","652575838312","92","90","638262213661.03","false","0.9783","638262213661.03","reported","52302045616.89","130755114042.22","0.4000000000000001","3","3","true",""
"samyang","2026-Q1","718542197163","270805365647","718542197163","90","90","719079341849.07","false","1","719079341849.07","reported","54115018812.149994","135287547030.37","0.4000000000000001","3","3","true",""
"samyang","2026-Q2","306552129357","231820677808","387068566078","61","60","384471261667.65","false","0.9836","384471261667.65","reported","45844674679.53","114611686698.83","0.4","2","2","false","trass_total_fallback_to_country_sum"
"tnl","1996-Q1","28643892",,"28643892","29","30","29631612.41","false","1.0345","29631612.41","reported","0",,"0","1","1","false",""
"tnl","1996-Q2","77645169",,"77645169","61","60","76188454.61","false","0.9836","76188454.61","reported","0",,"0","2","2","false",""
"tnl","1996-Q3","27499737",,"27499737","92","90","26865252.58","false","0.9783","26865252.58","reported","0",,"0","3","3","true",""
"tnl","1996-Q4","31251009",,"31251009","61","60","31180358.42","false","0.9836","31180358.42","reported","0",,"0","2","2","false",""
"tnl","1997-Q1","34333991",,"34333991","28","30","36786418.93","false","1.0714","36786418.93","reported","0",,"0","1","1","false",""
"tnl","1997-Q2","15198670",,"15198670","30","30","15198670","false","1","15198670","reported","0",,"0","1","1","false",""
"tnl","1997-Q3","41264272",,"41264272","61","60","39968259.48","false","0.9836","39968259.48","reported","0",,"0","2","2","false",""
"tnl","1997-Q4","1920928",,"1920928","30","30","1920928","false","1","1920928","reported","0",,"0","1","1","false",""
"tnl","1998-Q1","123861084",,"123861084","90","90","127006023.42999999","false","1","127006023.42999999","reported","0",,"0","3","3","true",""
"tnl","1998-Q2","79376399",,"79376399","91","90","79299511.22999999","false","0.989","79299511.22999999","reported","0",,"0","3","3","true",""
"tnl","1998-Q3","94140303",,"94140303","61","60","91490775.35","false","0.9836","91490775.35","reported","0",,"0","2","2","false",""
"tnl","1998-Q4","21198015",,"21198015","92","90","20673137.55","false","0.9783","20673137.55","reported","0",,"0","3","3","true",""
"tnl","1999-Q1","133683963",,"133683963","90","90","129717003.94","false","1","129717003.94","reported","0",,"0","3","3","true",""
"tnl","1999-Q2","2750432",,"2750432","30","30","2750432","false","1","2750432","reported","0",,"0","1","1","false",""
"tnl","1999-Q3","100742359",,"100742359","92","90","98784952.46000001","false","0.9783","98784952.46000001","reported","0",,"0","3","3","true",""
"tnl","1999-Q4","221343518",,"221343518","92","90","218087348.26","false","0.9783","218087348.26","reported","0",,"0","3","3","true",""
"tnl","2000-Q1","60909400",,"60909400","91","90","60954083.42","false","0.989","60954083.42","reported","0",,"0","3","3","true",""
"tnl","2000-Q2","101240850",,"101240850","91","90","99928445.39","false","0.989","99928445.39","reported","0",,"0","3","3","true",""
"tnl","2000-Q3","98760061",,"98760061","62","60","95574252.58","false","0.9677","95574252.58","reported","0",,"0","2","2","false",""
"tnl","2000-Q4","72258280",,"72258280","62","60","69927367.74","false","0.9677","69927367.74","reported","0",,"0","2","2","false",""
"tnl","2001-Q1","17247265",,"17247265","62","60","16690901.620000001","false","0.9677","16690901.620000001","reported","0",,"0","2","2","false",""
"tnl","2001-Q2","224072235",,"224072235","91","90","223962721","false","0.989","223962721","reported","0",,"0","3","3","true",""
"tnl","2001-Q3","144231320",,"144231320","92","90","140088490.70999998","false","0.9783","140088490.70999998","reported","0",,"0","3","3","true",""
"tnl","2001-Q4","237456307",,"237456307","92","90","233827158.74","false","0.9783","233827158.74","reported","0",,"0","3","3","true",""
"tnl","2002-Q1","156074006",,"156074006","90","90","151688988.11","false","1","151688988.11","reported","0",,"0","3","3","true",""
"tnl","2002-Q2","340331115",,"340331115","91","90","335512360.74","false","0.989","335512360.74","reported","0",,"0","3","3","true",""
"tnl","2002-Q3","99412677",,"99412677","92","90","97752613.65","false","0.9783","97752613.65","reported","0",,"0","3","3","true",""
"tnl","2002-Q4","440931948",,"440931948","92","90","431388156.80999994","false","0.9783","431388156.80999994","reported","0",,"0","3","3","true",""
"tnl","2003-Q1","493196735",,"493196735","90","90","491946047.79999995","false","1","491946047.79999995","reported","0",,"0","3","3","true",""
"tnl","2003-Q2","338071924",,"338071924","91","90","334169554","false","0.989","334169554","reported","0",,"0","3","3","true",""
"tnl","2003-Q3","540281031",,"540281031","92","90","529210892.2","false","0.9783","529210892.2","reported","0",,"0","3","3","true",""
"tnl","2003-Q4","704526895",,"704526895","92","90","688478273.13","false","0.9783","688478273.13","reported","0",,"0","3","3","true",""
"tnl","2004-Q1","656529266",,"656529266","91","90","645806121.23","false","0.989","645806121.23","reported","0",,"0","3","3","true",""
"tnl","2004-Q2","762849208",,"762849208","91","90","752702240.48","false","0.989","752702240.48","reported","0",,"0","3","3","true",""
"tnl","2004-Q3","492730873",,"492730873","92","90","481415100.32","false","0.9783","481415100.32","reported","0",,"0","3","3","true",""
"tnl","2004-Q4","442294403",,"442294403","92","90","435402038.23","false","0.9783","435402038.23","reported","0",,"0","3","3","true",""
"tnl","2005-Q1","390589589",,"390589589","90","90","388107323.04999995","false","1","388107323.04999995","reported","0",,"0","3","3","true",""
"tnl","2005-Q2","472577626",,"472577626","91","90","468630985.42","false","0.989","468630985.42","reported","0",,"0","3","3","true",""
"tnl","2005-Q3","504205226",,"504205226","92","90","490424974.58","false","0.9783","490424974.58","reported","0",,"0","3","3","true",""
"tnl","2005-Q4","815729603",,"815729603","92","90","794819440.6700001","false","0.9783","794819440.6700001","reported","0",,"0","3","3","true",""
"tnl","2006-Q1","223500298",,"223500298","90","90","222013495.19","false","1","222013495.19","reported","0",,"0","3","3","true",""
"tnl","2006-Q2","264610471",,"264610471","91","90","261224109.84","false","0.989","261224109.84","reported","0",,"0","3","3","true",""
"tnl","2006-Q3","456331084",,"456331084","92","90","450355960.39","false","0.9783","450355960.39","reported","0",,"0","3","3","true",""
"tnl","2006-Q4","556859872",,"556859872","92","90","544363659.2","false","0.9783","544363659.2","reported","0",,"0","3","3","true",""
"tnl","2007-Q1","441304221",,"441304221","90","90","436496637.04","false","1","436496637.04","reported","0",,"0","3","3","true",""
"tnl","2007-Q2","279699034",,"279699034","91","90","276140529.74","false","0.989","276140529.74","reported","0",,"0","3","3","true",""
"tnl","2007-Q3","639231865",,"639231865","92","90","626730183.42","false","0.9783","626730183.42","reported","0",,"0","3","3","true",""
"tnl","2007-Q4","590671427",,"590671427","92","90","580362866","false","0.9783","580362866","reported","0",,"0","3","3","true",""
"tnl","2008-Q1","422525591",,"422525591","91","90","416113081.37","false","0.989","416113081.37","reported","0",,"0","3","3","true",""
"tnl","2008-Q2","697575174",,"697575174","91","90","684678561.94","false","0.989","684678561.94","reported","0",,"0","3","3","true",""
"tnl","2008-Q3","856831796",,"856831796","92","90","848192514.23","false","0.9783","848192514.23","reported","0",,"0","3","3","true",""
"tnl","2008-Q4","1280586813",,"1280586813","92","90","1249369090.97","false","0.9783","1249369090.97","reported","0",,"0","3","3","true",""
"tnl","2009-Q1","1761653569",,"1761653569","90","90","1769266199.7900002","false","1","1769266199.7900002","reported","0",,"0","3","3","true",""
"tnl","2009-Q2","2055007392",,"2055007392","91","90","2025481288.26","false","0.989","2025481288.26","reported","0",,"0","3","3","true",""
"tnl","2009-Q3","1261437913",,"1261437913","92","90","1226358190.6799998","false","0.9783","1226358190.6799998","reported","0",,"0","3","3","true",""
"tnl","2009-Q4","1808970710",,"1808970710","92","90","1776257783.0300002","false","0.9783","1776257783.0300002","reported","0",,"0","3","3","true",""
"tnl","2010-Q1","1361610866",,"1361610866","90","90","1364240217.62","false","1","1364240217.62","reported","0",,"0","3","3","true",""
"tnl","2010-Q2","2175652687",,"2175652687","91","90","2141067873.9","false","0.989","2141067873.9","reported","0",,"0","3","3","true",""
"tnl","2010-Q3","2474646685",,"2474646685","92","90","2433750830.0699997","false","0.9783","2433750830.0699997","reported","0",,"0","3","3","true",""
"tnl","2010-Q4","3263025417",,"3263025417","92","90","3161854500.2200003","false","0.9783","3161854500.2200003","reported","0",,"0","3","3","true",""
"tnl","2011-Q1","1994943126",,"1994943126","90","90","1965285491.79","false","1","1965285491.79","reported","0",,"0","3","3","true",""
"tnl","2011-Q2","5743338354",,"5743338354","91","90","5714956821.059999","false","0.989","5714956821.059999","reported","0",,"0","3","3","true",""
"tnl","2011-Q3","1772532203",,"1772532203","92","90","1744114540.71","false","0.9783","1744114540.71","reported","0",,"0","3","3","true",""
"tnl","2011-Q4","3670533090",,"3670533090","92","90","3618454676.42","false","0.9783","3618454676.42","reported","0",,"0","3","3","true",""
"tnl","2012-Q1","2184124604",,"2184124604","91","90","2176813798.9300003","false","0.989","2176813798.9300003","reported","0",,"0","3","3","true",""
"tnl","2012-Q2","3877646644",,"3877646644","91","90","3815022800.26","false","0.989","3815022800.26","reported","0",,"0","3","3","true",""
"tnl","2012-Q3","3960004078",,"3960004078","92","90","3893069759.29","false","0.9783","3893069759.29","reported","0",,"0","3","3","true",""
"tnl","2012-Q4","9218062909",,"9218062909","92","90","9036010215.29","false","0.9783","9036010215.29","reported","0",,"0","3","3","true",""
"tnl","2013-Q1","4619730565",,"4619730565","90","90","4693211391.39","false","1","4693211391.39","reported","0",,"0","3","3","true",""
"tnl","2013-Q2","4562989461",,"4562989461","91","90","4521562703.03","false","0.989","4521562703.03","reported","0",,"0","3","3","true",""
"tnl","2013-Q3","1781865410",,"1781865410","92","90","1748211977.65","false","0.9783","1748211977.65","reported","0",,"0","3","3","true",""
"tnl","2013-Q4","10337883609",,"10337883609","92","90","10056373341.81","false","0.9783","10056373341.81","reported","0",,"0","3","3","true",""
"tnl","2014-Q1","3492702356",,"3492702356","90","90","3451226207.9399996","false","1","3451226207.9399996","reported","0",,"0","3","3","true",""
"tnl","2014-Q2","2712957199",,"2712957199","91","90","2676549754.23","false","0.989","2676549754.23","reported","0",,"0","3","3","true",""
"tnl","2014-Q3","3829480102",,"3829480102","92","90","3739206273.25","false","0.9783","3739206273.25","reported","0",,"0","3","3","true",""
"tnl","2014-Q4","12404682016",,"12404682016","92","90","12153042841.32","false","0.9783","12153042841.32","reported","0",,"0","3","3","true",""
"tnl","2015-Q1","4483185567",,"4483185567","90","90","4444098452.7300005","false","1","4444098452.7300005","reported","0",,"0","3","3","true",""
"tnl","2015-Q2","4762586287",,"4762586287","91","90","4716983607.55","false","0.989","4716983607.55","reported","0",,"0","3","3","true",""
"tnl","2015-Q3","10036111982",,"10036111982","92","90","9923493934.3","false","0.9783","9923493934.3","reported","0",,"0","3","3","true",""
"tnl","2015-Q4","8847898225",,"8847898225","92","90","8671415123.710001","false","0.9783","8671415123.710001","reported","0",,"0","3","3","true",""
"tnl","2016-Q1","6987376136",,"6987376136","91","90","6854392635.29","false","0.989","6854392635.29","reported","0",,"0","3","3","true",""
"tnl","2016-Q2","6907471855",,"6907471855","91","90","6828445569.940001","false","0.989","6828445569.940001","reported","0",,"0","3","3","true",""
"tnl","2016-Q3","3658500034",,"3658500034","92","90","3560917781.0299997","false","0.9783","3560917781.0299997","reported","0",,"0","3","3","true",""
"tnl","2016-Q4","4570126817",,"4570126817","92","90","4469358862.03","false","0.9783","4469358862.03","reported","0",,"0","3","3","true",""
